name,original_link,archive_link,release_date
BDPE Episode 25,http://blakebuck.com/media/BDPE-Episode25.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode25.mp3,2018-05-22
BDPE Episode 26,http://blakebuck.com/media/BDPE-Episode26.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode26.mp3,2018-05-22
BDPE Episode 27,http://blakebuck.com/media/BDPE-Episode27.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode27.mp3,2018-05-22
BDPE Episode 28,http://blakebuck.com/media/BDPE-Episode28.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode28.mp3,2018-05-22
BDPE Episode 29,http://blakebuck.com/media/BDPE-Episode29.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode29.mp3,2018-05-22
BDPE Episode 30,http://blakebuck.com/media/BDPE-Episode30.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode30.mp3,2018-05-22
BDPE Episode 31,http://blakebuck.com/media/BDPE-Episode31.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode31.mp3,2018-05-22
BDPE Episode 32,http://blakebuck.com/media/BDPE-Episode32.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode32.mp3,2018-05-22
BDPE Episode 33,http://blakebuck.com/media/BDPE-Episode33.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode33.mp3,2018-05-22
BDPE Episode 34,http://blakebuck.com/media/BDPE-Episode34.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode34.mp3,2018-05-22
BDPE Episode 35,http://blakebuck.com/media/BDPE-Episode35.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode35.mp3,2018-05-22
BDPE Episode 36,http://blakebuck.com/media/BDPE-Episode36.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode36.mp3,2018-05-22
BDPE Episode 37,http://blakebuck.com/media/BDPE-Episode37.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode37.mp3,2018-05-22
BDPE Episode 38,http://blakebuck.com/media/BDPE-Episode38.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode38.mp3,2018-05-22
BDPE Episode 39,http://blakebuck.com/media/BDPE-Episode39.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode39.mp3,2018-05-22
BDPE Episode 40,http://blakebuck.com/media/BDPE-Episode40.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode40.mp3,2018-05-22
BDPE Episode 41,http://blakebuck.com/media/BDPE-Episode41.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode41.mp3,2018-05-22
BDPE Episode 42,http://blakebuck.com/media/BDPE-Episode42.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode42.mp3,2018-05-22
BDPE Episode 43,http://blakebuck.com/media/BDPE-Episode43.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode43.mp3,2018-05-22
BDPE Episode 44,http://blakebuck.com/media/BDPE-Episode44.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode44.mp3,2018-05-22
BDPE Episode 45,http://blakebuck.com/media/BDPE-Episode45.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode45.mp3,2018-05-22
BDPE Episode 46,http://blakebuck.com/media/BDPE-Episode46.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode46.mp3,2018-05-22
BDPE Episode 47,http://blakebuck.com/media/BDPE-Episode47.mp3,https://archive.org/details/best-damn-podcast-ever/BDPE-Episode47.mp3,2018-05-22
