date,actions,rank
2018-06-15,17,"git2"
2018-06-16,28,"git3"
2018-06-17,99,"git4"
2018-06-18,44,"git4"
2018-06-19,2,"git1"
2018-06-20,1,"git1"
2018-06-21,13,"git2"
2018-06-22,19,"git2"
2018-06-23,1,"git1"
2018-06-24,3,"git1"
2018-06-25,0,"git0"
2018-06-26,84,"git4"
2018-06-27,17,"git2"
2018-06-28,0,"git0"
2018-06-29,28,"git3"
2018-06-30,82,"git4"
